,attentive,while_doing_other,while_taking_notes,with_other_people,What's your preferred way of listening to On Being?
X39,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X40,NA,NA,NA,NA,NA
X41,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X42,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X43,NA,NA,NA,NA,NA
X44,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X45,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X46,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X47,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X48,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X49,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X50,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X51,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X52,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X53,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X54,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X55,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X56,NA,NA,NA,NA,I sometimes read the transcript while on lunch without distractions
X57,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X58,NA,NA,NA,NA,NA
X59,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X60,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X61,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X62,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X63,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X64,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X65,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X66,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X67,NA,NA,NA,NA,"Listen twice, sometimes more to every show"
X68,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X69,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X70,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X71,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X72,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X73,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X74,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X75,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X76,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X77,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X78,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X79,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X80,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X81,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X82,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X83,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X84,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X85,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X86,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X87,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X88,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X89,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X90,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X91,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X92,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X93,NA,NA,NA,NA,NA
X94,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X95,NA,NA,NA,NA,NA
X96,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X97,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X98,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X99,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X100,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X101,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X102,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X103,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X104,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X105,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X106,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X107,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X108,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X109,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X110,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X111,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X112,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X113,NA,NA,NA,NA,"All of the above, depending on the episode."
X114,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X115,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X116,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X117,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X118,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X119,NA,NA,NA,NA,NA
X120,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X121,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X122,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X123,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
